June 2025,,,,Money to Assign,,$7.32,,,
CATEGORY,ASSIGNED,ACTIVITY,AVAILABLE,,DATE,TARGET,,Total Income,
Bills,"$2,600.73","$2,582.55",$18.18,,,,,"$7,416.55",
Liana Therapy/Couples Therapy,$40.00,$40.00,$0.00,,30th,$20.00,Income #1,-17.01,correction
Liana Dental Insurance,$35.53,$35.53,$0.00,,30th,$35.53,Income #2,1651.93,William #1
Spotify,$18.18,$0.00,$18.18,,23rd,$18.18,Income #3,277.78,Liana #1
Cellphone,$146.31,$146.31,$0.00,,14th,$150.55,Income #4,400,zelle from mom/dad
Liana Vision Insurance,$12.39,$12.39,$0.00,,10th,$12.39,Income #5,1651.93,William #2
Liana Apple Storage,$2.99,$2.99,$0.00,,4th,$2.99,Income #6,1800,savings transfer
Liana Health Insurance,$361.52,$361.52,$0.00,,1st,$361.52,Income #7,1651.92,William #3
William Apple Storage,$2.99,$2.99,$0.00,,19th,$2.99,Income #8,,<---- enter paycheck here
Life Insurance,$92.24,$92.24,$0.00,,30th,$46.12,Income #9,,<---- enter paycheck here
Smart Sales & Lease,$50.00,$50.00,$0.00,,15th,$10.00,,,
Car Insurance,$136.59,$136.59,$0.00,,4th,$137.01,,,
Money Lion/Balance,$11.53,$11.53,$0.00,,1st,$11.53,,,
Mortgage,"$1,124.58","$1,124.58",$0.00,,5th,"$1,124.58",,,
William Therapy/Health Coaching,$300.00,$300.00,$0.00,,1st,$150.00,,,
Amazon Prime student,$8.01,$8.01,$0.00,,23rd,$8.01,,,
Tempo,$41.73,$41.73,$0.00,,29th,$41.73,,,
Electric,$158.44,$158.44,$0.00,,15th,$145.38,,,
Internet,$57.70,$57.70,$0.00,,12th,$57.70,,,
Monthly Expenses,"$1,933.20","$1,933.20",$0.00,,,,,,
Pets,$390.93,$390.93,$0.00,,,$150.00,,,
Groceries,$779.90,$779.90,$0.00,,,$400.00,,,
Eating Out,$361.43,$361.43,$0.00,,,$60.00,,,
Transportation,$180.79,$180.79,$0.00,,,$150.00,,,
Clothes,$24.00,$24.00,$0.00,,,$20.00,,,
Personal Care,$196.15,$196.15,$0.00,,,$50.00,,,
7th Tradition,,,,,,$20.00,,,
Non-Monthly Expenses,"$1,868.87","$1,868.87",$0.00,,,,,,
Credit Card Debt,"$1,000.00","$1,000.00",$0.00,,,$0.00,,,
Medical Expenses,,,,,,$0.00,,,
Gifts,$104.95,$104.95,$0.00,,,$0.00,,,
Heating Oil,,,,,,$150.00,,,
Home Maintenance,$763.92,$763.92,$0.00,,,$40.00,,,
Auto Maintenance,,,,,,$40.00,,,
Goals,$381.07,$381.07,$0.00,,,,,,
Baby,$81.07,$81.07,$0.00,,,$21.39,Snoo App,,
Savings,$300.00,$300.00,$0.00,,,,,,
,,,,,,,,,
Quality of Life,$625.36,$625.36,$0.00,,,,,,
Coffee,$56.75,$56.75,$0.00,,,$0.00,,,
Liana Spending Money + Gifts,$415.57,$415.57,$0.00,,,$40.00,,,
William Spending Money + Gifts,$41.06,$41.06,$0.00,,,$40.00,,,
William - Professional Development,,,,,,$0.00,,,
Entertainment,$111.98,$111.98,$0.00,,,$40.00,,,
,,,,,,,,,
,,Total Available,$18.18,,Total Target,"$3,557.60",,,
,,,,,,,,,
,,,,,,,"$1,913.16",,
